t,Bus_Bus_1_Vm,Genrou_DV1_speed
1.3458330000000001e+00,9.6134585100000003e-01,9.8799139300000005e-01
1.3500000000000001e+00,9.6120744899999999e-01,9.8820239300000001e-01
1.3541669999999999e+00,9.6104931800000004e-01,9.8843705699999995e-01
1.3583330000000000e+00,9.6087670300000005e-01,9.8869407200000003e-01
1.3625000000000000e+00,9.6069461099999998e-01,9.8897236600000005e-01
1.3666670000000001e+00,9.6050775099999997e-01,9.8927074699999995e-01
1.3708330000000000e+00,9.6032083000000001e-01,9.8958784300000002e-01
1.3750000000000000e+00,9.6013790399999999e-01,9.8992264299999999e-01
1.3791670000000000e+00,9.5996284499999995e-01,9.9027389300000002e-01
1.3833329999999999e+00,9.5979917000000003e-01,9.9064022299999999e-01
1.3875000000000000e+00,9.5964986100000005e-01,9.9102067900000002e-01
1.3916670000000000e+00,9.5951759800000003e-01,9.9141395099999996e-01
1.3958330000000001e+00,9.5940458799999995e-01,9.9181884499999995e-01
1.3999999999999999e+00,9.5931267700000000e-01,9.9223434899999996e-01
1.4041669999999999e+00,9.5924317800000003e-01,9.9265932999999995e-01
1.4083330000000001e+00,9.5919722299999999e-01,9.9309247700000003e-01
1.4125000000000001e+00,9.5917540800000001e-01,9.9353301500000002e-01
1.4166669999999999e+00,9.5917803000000001e-01,9.9397981199999996e-01
1.4208330000000000e+00,9.5920509099999995e-01,9.9443173399999996e-01
1.4250000000000000e+00,9.5925635099999995e-01,9.9488800799999999e-01
1.4291670000000001e+00,9.5933133400000004e-01,9.9534755900000005e-01
1.4333330000000000e+00,9.5942920399999998e-01,9.9580937599999997e-01
1.4375000000000000e+00,9.5954912900000000e-01,9.9627274300000002e-01
1.4416670000000000e+00,9.5968461000000005e-01,9.9673664600000000e-01
1.4458329999999999e+00,9.5985090699999998e-01,9.9720007200000005e-01
1.4500000000000000e+00,9.6002465500000000e-01,9.9766260399999995e-01
1.4541670000000000e+00,9.6022641700000000e-01,9.9812316899999998e-01
1.4583330000000001e+00,9.6043306600000000e-01,9.9858093299999995e-01
1.4624999999999999e+00,9.6066433200000001e-01,9.9903529899999999e-01
1.4666669999999999e+00,9.6089833999999996e-01,9.9948555200000000e-01
1.4708330000000001e+00,9.6115320900000001e-01,9.9993067999999996e-01
1.4750000000000001e+00,9.6140879400000001e-01,1.0003703829999999e+00
1.4791669999999999e+00,9.6168160400000002e-01,1.0008037089999999e+00
1.4833330000000000e+00,9.6195316300000000e-01,1.0012300009999999e+00
1.4875000000000000e+00,9.6223831199999998e-01,1.0016487839999999e+00
1.4916670000000001e+00,9.6252077800000002e-01,1.0020594599999999e+00
1.4958330000000000e+00,9.6281319899999995e-01,1.0024610759999999e+00
1.5000000000000000e+00,9.6310174500000001e-01,1.0028535130000000e+00
1.5041670000000000e+00,9.6339696600000002e-01,1.0032360549999999e+00
1.5083329999999999e+00,9.6368735999999999e-01,1.0036079880000000e+00
1.5125000000000000e+00,9.6398127099999997e-01,1.0039689540000001e+00
1.5166670000000000e+00,9.6426975699999995e-01,1.0043183570000001e+00
1.5208330000000001e+00,9.6455872099999995e-01,1.0046558379999999e+00
1.5249999999999999e+00,9.6484196200000005e-01,1.0049808030000000e+00
1.5291669999999999e+00,9.6512293800000004e-01,1.0052928919999999e+00
1.5333330000000001e+00,9.6539789399999998e-01,1.0055916309999999e+00
1.5375000000000001e+00,9.6566796300000002e-01,1.0058766600000000e+00
1.5416669999999999e+00,9.6593218999999997e-01,1.0061476229999999e+00
1.5458330000000000e+00,9.6618872899999997e-01,1.0064039229999999e+00
1.5500000000000000e+00,9.6643966400000003e-01,1.0066454410000001e+00
1.5541670000000001e+00,9.6668034800000002e-01,1.0068718200000000e+00
1.5583330000000000e+00,9.6691560700000001e-01,1.0070825820000000e+00
1.5625000000000000e+00,9.6713805200000003e-01,1.0072776080000001e+00
1.5666670000000000e+00,9.6735554899999998e-01,1.0074566599999999e+00
1.5708329999999999e+00,9.6755743000000005e-01,1.0076193810000000e+00
1.5750000000000000e+00,9.6775484099999998e-01,1.0077655320000001e+00
1.5791670000000000e+00,9.6793401199999995e-01,1.0078949930000001e+00
1.5833330000000001e+00,9.6810907099999999e-01,1.0080075260000001e+00
1.5874999999999999e+00,9.6826344700000000e-01,1.0081031320000000e+00
1.5916669999999999e+00,9.6841412800000004e-01,1.0081814529999999e+00
