frequency_hz,quantity,row,col,label,real,imag,mag,phase_deg,unit
1.137533029402e0,Y,1,1,Y_bb,0.000000000000e0,6.417408610698e-8,6.417408610698e-8,9.000000000000e1,S/km
1.137533029402e0,Y,1,2,Y_bc,0.000000000000e0,-1.817018285361e-8,1.817018285361e-8,-9.000000000000e1,S/km
1.137533029402e0,Y,2,0,Y_ca,0.000000000000e0,-1.053728229449e-8,1.053728229449e-8,-9.000000000000e1,S/km
1.137533029402e0,Y,2,1,Y_cb,0.000000000000e0,-1.817018285361e-8,1.817018285361e-8,-9.000000000000e1,S/km
1.137533029402e0,Y,2,2,Y_cc,0.000000000000e0,6.093104812363e-8,6.093104812363e-8,9.000000000000e1,S/km
1.152286349988e0,Z,0,0,Z_aa,1.668974498871e-1,2.022282547015e-2,1.681181770327e-1,6.908801814047e0,ohm/km
1.152286349988e0,Z,0,1,Z_ab,8.861791975801e-4,1.244023447730e-2,1.247175799238e-2,8.592542204795e1,ohm/km
1.152286349988e0,Z,0,2,Z_ac,8.863097593254e-4,1.155238989665e-2,1.158633925422e-2,8.561281052093e1,ohm/km
1.152286349988e0,Z,1,0,Z_ba,8.861791975801e-4,1.244023447730e-2,1.247175799238e-2,8.592542204795e1,ohm/km
1.152286349988e0,Z,1,1,Z_bb,1.668971880430e-1,2.022295719053e-2,1.681179329346e-1,6.908857113737e0,ohm/km
1.152286349988e0,Z,1,2,Z_bc,8.861791975801e-4,1.244023447730e-2,1.247175799238e-2,8.592542204795e1,ohm/km
1.152286349988e0,Z,2,0,Z_ca,8.863097593254e-4,1.155238989665e-2,1.158633925422e-2,8.561281052093e1,ohm/km
1.152286349988e0,Z,2,1,Z_cb,8.861791975801e-4,1.244023447730e-2,1.247175799238e-2,8.592542204795e1,ohm/km
1.152286349988e0,Z,2,2,Z_cc,1.668974498871e-1,2.022282547015e-2,1.681181770327e-1,6.908801814047e0,ohm/km
